sku_number,expected_units_before_promo_start,expected_promo_demand,pre_minus_promo,pre_over_promo_ratio,projected_SOH_at_promo_start,current_soh,projected_stock_gap_units,days_to_promo_start,lead_days_to_promo_start,lead_up_demand_units,feature_pre_promo_baseline_daily_units,feature_pre_promo_rolling_demand_units
15719,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
196845,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
67026,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
95050,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
97220,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
194880,0,1,-1,0.0,4,4,0,1,1,0,0.0021,0.0294
198636,0,1,-1,0.0,3,3,0,1,1,0,1.5,21.0
192119,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
321943,0,1,-1,0.0,6,6,0,1,1,0,1.2,16.8
91473,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
96456,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
90157,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
