sku_number,sku_description,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,audit_notes
44019,Avene Dermabsolu Day Crm 50Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$30.48; risk_reward=1.02; sku_bias=NO_COMPARABLE_EVENTS
193422,Braun Style Kit Sk3400,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=68; capital_risk=$25.71; risk_reward=1.05; sku_bias=NO_COMPARABLE_EVENTS
199838,Swiish Supergreens 10 Pack,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=30; capital_risk=$23.36; risk_reward=0.71; sku_bias=NO_COMPARABLE_EVENTS
69758,Avene Toler Recovery Balm 40Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$20.15; risk_reward=1.06; sku_bias=NO_COMPARABLE_EVENTS
188851,Tbh Rebound Serum 30Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$18.42; risk_reward=1.12; sku_bias=NO_COMPARABLE_EVENTS
868744,Preference Loreal Drk Brwn 3.0,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$17.72; risk_reward=0.85; sku_bias=NO_COMPARABLE_EVENTS
102088,Mf Lipfinity Spicy,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=25; capital_risk=$17.27; risk_reward=0.66; sku_bias=NO_COMPARABLE_EVENTS
339644,Braun Pocket M30 (P4O) Shaver,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$17.24; risk_reward=0.83; sku_bias=NO_COMPARABLE_EVENTS
90123,Swisse U/B Mag Glycinate 60 Pa,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$16.69; risk_reward=0.68; sku_bias=NO_COMPARABLE_EVENTS
68561,Auglow Tan Express Ult Drk 200,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=37; capital_risk=$15.77; risk_reward=0.79; sku_bias=NO_COMPARABLE_EVENTS
