sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
21773,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,26.5,25.8,210,-22.668,-0.944,VERY_LOW,13.964,12.62,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,46,economic_value_uplift
65591,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,28.1,25.8,211,8.388,0.524,VERY_LOW,34.597,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-20,economic_value_downgrade
192981,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,23.4,25.8,212,-14.201,-0.592,VERY_LOW,42.766,0.0,1.673,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,182,economic_roi_major_uplift
199849,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,30.0,25.8,213,-32.394,-1.35,VERY_LOW,21.592,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-80,economic_value_major_downgrade
24925,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,30.5,25.8,214,-11.156,-0.465,VERY_LOW,15.933,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-99,economic_value_major_downgrade
93466,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.1,25.8,215,-19.13,-0.797,VERY_LOW,6.201,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-51,economic_value_major_downgrade
42784,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,25.1,25.7,216,-21.255,-0.886,VERY_LOW,38.493,0.0,1.175,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,99,economic_roi_major_uplift
186457,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,28.8,25.7,217,-9.871,-0.411,VERY_LOW,22.624,0.0,1.041,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-49,economic_value_downgrade
92434,0.0,SUNCARE,unknown,STANDARD_RUN_DOWN_REVIEW,23.7,25.7,218,-16.554,-1.035,VERY_LOW,3.222,0.0,1.044,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,159,economic_roi_major_uplift
16525,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,25.4,25.7,219,-18.581,-0.774,VERY_LOW,10.295,0.0,1.033,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,76,economic_roi_major_uplift
61289,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.7,25.7,220,-22.189,-0.925,VERY_LOW,6.145,0.0,0.995,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-80,economic_value_major_downgrade
24358,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,20.3,25.7,221,71.011,4.438,LOW,0.0,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,486,economic_roi_major_uplift
655791,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,25.7,222,-22.337,-0.931,VERY_LOW,5.997,0.0,0.995,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-75,economic_value_major_downgrade
