segment,row_count,actual_units_total,forecast_units_total,forecast_bias_units,forecast_bias_pct,wape,mae,rmse,model_beats_baseline_pct,model_beats_historical_proxy_pct,median_actual_units,median_forecast_units,p75_abs_error,p95_abs_error,baseline_wape,historical_proxy_wape,segment_row_share_pct
category=GIFTSETS MALE,80,2.0,3.378,1.3780000000000001,68.9,1.26,0.0315,0.062066093803299714,6.25,6.25,0.0,0.0235,0.034,0.037,1.475,1.475,0.15300755474801567
category=GUT HEALTH,29,21.0,19.764999999999997,-1.2350000000000005,-5.880952380952383,0.4132857142857143,0.2992758620689655,0.5315132917532212,68.96551724137932,68.96551724137932,0.0,0.063,0.41700000000000004,0.8895999999999992,1.15,1.15,0.05546523859615569
category=HAIR ACCESSORIES,486,743.0,477.937,-265.063,-35.67469717362046,0.5169434724091522,0.7903065843621401,1.4933226196981204,69.95884773662551,69.95884773662551,1.0,0.933,1.067,3.31425,0.8929246298788694,0.8929246298788694,0.9295208950941953
category=HAIR BRUSHES,295,308.0,206.10399999999998,-101.89599999999999,-33.08311688311688,0.574487012987013,0.5998033898305085,1.0349194744732886,65.08474576271186,65.08474576271186,1.0,0.467,0.904,2.1957000000000013,1.0045584415584417,1.0045584415584417,0.5642153581333078
category=HAIR ELECTRICAL,92,89.0,56.67899999999999,-32.32100000000001,-36.31573033707867,0.5622808988764044,0.543945652173913,0.9258694562409974,64.13043478260869,64.13043478260869,1.0,0.389,0.97425,2.0290500000000002,0.748370786516854,0.748370786516854,0.17595868796021805
category=HAIR STYLING,456,709.0,359.97300000000007,-349.027,-49.2280677009873,0.6297108603667138,0.9790899122807019,2.396843717229924,64.91228070175438,64.91228070175438,1.0,0.531,1.067,4.11125,0.9931805359661494,0.9931805359661494,0.8721430620636895
category=HEALTHY AGEING SUP,408,340.0,179.152,-160.848,-47.30823529411765,0.6841882352941175,0.5701568627450979,1.8169846034074169,50.49019607843137,50.49019607843137,0.0,0.053,0.44075,2.067,1.1461117647058823,1.1461117647058823,0.7803385292148799
category=HEART AND CHOLESTE,2,0.0,0.047,0.047,0.0,0.0,0.0235,0.02413503677229434,0.0,0.0,0.0,0.0235,0.026250000000000002,0.02845,0.0,0.0,0.003825188868700392
category=HEAT APPLICATN,127,59.0,56.681999999999995,-2.318000000000004,-3.9288135593220406,0.6254915254237287,0.29058267716535424,0.7545064925128839,55.118110236220474,55.118110236220474,0.0,0.053,0.06699999999999995,1.1876999999999995,1.1746271186440678,1.1746271186440678,0.2428994931624749
category=HOME FRAGRANCE,187,94.0,51.244,-42.756,-45.48510638297872,0.611595744680851,0.30743315508021385,0.8020201099003016,48.1283422459893,48.1283422459893,0.0,0.053,0.063,2.067,1.2531808510638298,1.2531808510638298,0.3576551592234867
category=HOT COLD PACKS,11,2.0,1.7239999999999998,-0.2760000000000001,-13.800000000000004,0.46200000000000013,0.08400000000000002,0.184644621810754,72.72727272727273,72.72727272727273,0.0,0.053,0.053,0.32650000000000007,2.2035,2.2035,0.021038538777852157
category=HYDRATION,152,129.0,85.45,-43.550000000000004,-33.759689922480625,0.6022325581395349,0.5111052631578947,1.1444617270738424,63.81578947368421,63.81578947368421,0.0,0.053,0.50325,2.306849999999994,1.1443100775193797,1.1443100775193797,0.2907143540212298
category=IMMUNE HEALTH SUPP,191,93.0,68.99199999999999,-24.008,-25.815053763440858,0.5393118279569893,0.26259685863874344,0.6551409184569753,52.879581151832454,52.879581151832454,0.0,0.053,0.07799999999999996,1.266,1.1991827956989247,1.1991827956989247,0.36530553696088747
category=INCONTINENCE MEN,30,34.0,16.067,-17.933,-52.74411764705882,0.6447352941176471,0.7307,1.3875048708623212,83.33333333333334,83.33333333333334,0.0,0.044,1.1567500000000002,3.03505,1.096,1.096,0.057377833030505886
category=INCONTINENCE UNISE,10,0.0,0.256,0.256,0.0,0.0,0.0256,0.030903074280724887,70.0,70.0,0.0,0.029,0.03125,0.053,0.0,0.0,0.01912594434350196
category=INCONTINENCE WOMAN,144,139.0,76.37899999999999,-62.62100000000001,-45.05107913669065,0.6308129496402877,0.6089097222222222,1.8179855361696973,63.19444444444444,63.19444444444444,0.0,0.053,0.6000000000000001,2.43755,1.0733021582733815,1.0733021582733815,0.2754135985464282
