sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
184707,Lrp Anth Inv/Spray Spf50+ 200M,REVIEW,REVIEW_STOCK_GAP,28,94.0,MODERATE,same_discount_history,13.0,0,0.0,8,56,NO,,tier_3_review_evidence_gap
478354,Es Long Lasting Eye Pencil 01,REVIEW,REVIEW_STOCK_GAP,67,77.0,MODERATE,baseline_period_demand,12.75,12,0.2,0,48,NO,,tier_3_review_evidence_gap
445650,Neut Mur Wipes Night Calm 25,REVIEW,REVIEW_STOCK_GAP,21,94.0,MODERATE,same_discount_history,12.667,0,0.0,1,54,NO,,tier_3_review_evidence_gap
188996,Garn H/Bomb Vit C Msk,REVIEW,REVIEW_STOCK_GAP,27,100.0,MODERATE,same_discount_history,12.625,0,0.0,12,54,NO,,tier_3_review_evidence_gap
15789,Npmu Setting Spray Dewy,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,12.529,0,0.0,10,54,NO,,tier_3_review_evidence_gap
580,Garn Micellar Sol 125Ml,REVIEW,REVIEW_STOCK_GAP,25,94.0,MODERATE,same_discount_history,12.444,0,0.0,9,53,NO,,tier_3_review_evidence_gap
63416,Lrp Cicaplast Hand Crm 100Ml,REVIEW,REVIEW_STOCK_GAP,31,100.0,MODERATE,same_discount_history,12.333,0,0.0,12,53,NO,,tier_3_review_evidence_gap
55245,Garn Micellar Water Rose 400Ml,REVIEW,REVIEW_STOCK_GAP,37,62.0,CONFLICTING,baseline_period_demand,12.0,10,0.167,0,50,NO,,tier_3_review_evidence_gap
323608,Cetaphil Eczema Bdy Mst 295Ml,REVIEW,REVIEW_STOCK_GAP,28,62.0,CONFLICTING,baseline_period_demand,12.0,9,0.143,3,51,NO,,tier_3_review_evidence_gap
55533,Lrp Retinol B3 A/A Serum 30Ml,REVIEW,REVIEW_STOCK_GAP,27,100.0,MODERATE,same_discount_history,12.0,0,0.0,12,51,NO,,tier_3_review_evidence_gap
