sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
43765,0.0528,0.0528,0,0,0.0,3.1666666666666665,3.1667,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.1667,3.1139
75006,0.0315,0.0315,0,0,0.0021,3.090909090909091,1.7778,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.090909090909091,3.059409090909091
485861,0.0938,0.0938,0,0,0.0062533333333333,3.142857142857143,3.1429,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,3.1429,3.0491
15840,0.0161,0.0161,0,0,0.0010733333333333,3.0588235294117645,3.0588,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0588235294117645,3.0427235294117647
38390,0.0161,0.0161,0,0,0.0010733333333333,3.0454545454545454,3.0455,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0455,3.0294000000000003
190077,0.1099,0.1099,0,0,0.0073266666666666,3.111111111111111,0.0,0.1099,LOW_NONZERO_DEMAND,low_nonzero_demand,3.111111111111111,3.001211111111111
63823,3.9998,3.9998,0,0,0.01876,7.0,7.0,3.9998,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,7.0,3.0002
521278,0.0476,0.0476,0,0,0.0031733333333333,3.0454545454545454,3.0455,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0455,2.9979
193197,0.0938,0.0938,0,0,0.0062533333333333,3.090909090909091,3.0909,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,3.090909090909091,2.997109090909091
11035,0.1561,0.1561,0,0,0.0104066666666666,3.142857142857143,3.1429,0.1561,LOW_NONZERO_DEMAND,low_nonzero_demand,3.1429,2.9868
94559,0.0161,0.0161,0,0,0.0010733333333333,3.0,3.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9839
187117,0.0161,0.0161,0,0,0.0511111111111111,1.50805,3.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9839
31192,0.0315,0.0315,0,0,0.0021,3.0,3.0,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9685
92258,0.0315,0.0315,0,0,0.0021,2.6666666666666665,3.0,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9685
200980,0.1876,0.1876,0,0,0.0125066666666666,3.142857142857143,3.1429,0.1876,LOW_NONZERO_DEMAND,low_nonzero_demand,3.1429,2.9553000000000003
90841,0.0476,0.0476,0,0,0.0031733333333333,3.0,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9524
34855,0.0476,0.0476,0,0,0.0031733333333333,2.9,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9524
65465,0.0476,0.0476,0,0,0.0031733333333333,3.0,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9524
97989,0.0476,0.0476,0,0,0.0031733333333333,1.5238,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9524
386359,0.0476,0.0476,0,0,0.0031733333333333,3.0,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9524
62472,0.0476,0.0476,0,0,0.591304347826087,1.5238,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9524
90771,0.0528,0.0528,0,0,0.0,1.5000005,3.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9472
92858,0.0528,0.0528,0,0,0.0,1.5000005,3.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9472
90839,0.0528,0.0528,0,0,0.0,3.0,3.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9472
92854,0.0528,0.0528,1,1,0.0,2.3333333333333335,3.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9472
196554,0.0616,0.9505,0,0,0.0,3.0,3.0,0.0616,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9384
198639,0.0616,0.9505,0,0,0.0,3.0,3.0,0.0616,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9384
523852,0.0623,0.0623,0,0,0.0041533333333333,3.0,3.0,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9377
611271,0.0623,0.0623,0,0,0.0041533333333333,3.0,3.0,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9377
277772,0.0623,0.0623,0,0,0.0041533333333333,3.0,3.0,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9377
93918,0.0784,0.0784,0,0,0.0052266666666666,3.0,1.0,0.0784,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9216
190074,0.0784,0.0784,0,0,0.0052266666666666,3.0,0.0,0.0784,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9216
97995,0.0938,0.0938,0,0,0.0062533333333333,1.5469,3.0,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,3.0,2.9062
