sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,promo_days,selected_demand_units,promo_window_demand_units,demand_forecast_basis,rounds_to_0or1,anti_collapse_floor_applied,feature_signal_max,feature_exceeds_final_by,collapse_category
194687,0.369,0.369,0.103,0.103,0.0,1e-06,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.0147,0.0,anti_collapse_repair_to_1
197262,0.369,0.369,0.129,0.129,0.0,1.8333333333333333,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.8333333333333333,0.8333333333333333,anti_collapse_repair_to_1
90996,0.369,0.369,0.015,0.015,0.22,0.0315,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.0315,0.0,anti_collapse_repair_to_1
888133,0.369,0.008,0.008,0.008,0.113,1.7647058823529411,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.7647058823529411,0.7647058823529411,anti_collapse_repair_to_1
188025,0.369,0.369,0.369,0.369,0.0,0.3636363636363636,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
92515,0.369,0.369,0.203,0.203,0.0,5e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,5e-07,0.0,anti_collapse_repair_to_1
27928,0.369,0.103,0.103,0.103,0.0,0.25,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.25,0.0,anti_collapse_repair_to_1
97126,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
192619,0.431,0.015,0.015,0.015,0.22,2.8181818181818183,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,2.8181818181818183,1.8181818181818183,anti_collapse_repair_to_1
974463,0.369,0.369,0.369,0.369,0.0,1.0,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
7522,0.369,0.103,0.103,0.103,0.0,0.625,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.625,0.0,anti_collapse_repair_to_1
191173,0.369,0.008,0.008,0.008,0.113,0.3157894736842105,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.3157894736842105,0.0,anti_collapse_repair_to_1
66734,0.369,0.008,0.008,0.008,0.113,1.3636363636363635,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.3636363636363635,0.36363636363636354,anti_collapse_repair_to_1
199760,0.369,0.103,0.103,0.103,0.0,0.3571428571428571,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.3571428571428571,0.0,anti_collapse_repair_to_1
90484,0.369,0.103,0.103,0.103,0.0,0.3333333333333333,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.3333333333333333,0.0,anti_collapse_repair_to_1
265969,0.369,0.008,0.008,0.008,0.113,1.8888888888888888,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.8888888888888888,0.8888888888888888,anti_collapse_repair_to_1
97133,0.369,0.103,0.103,0.103,0.0,2.5e-07,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.0147,0.0,anti_collapse_repair_to_1
49087,2.525,0.066,0.066,0.066,0.99,6.5,0.0094266666666666,7.0,1,1,MODEL_PREDICTION,True,True,6.5,5.5,anti_collapse_repair_to_1
