sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
234915,4,0,0.366,3.634,3.634,0.0
67986,3,0,0.365,2.635,2.635,0.0
94276,3,0,0.357,2.643,2.643,0.0
201057,4,0,0.357,3.643,3.643,0.0
94272,8,0,0.357,7.643,7.643,0.0
384240,5,0,0.357,4.643,4.643,0.0
54863,5,0,0.349,4.651,4.651,0.0
65630,3,0,0.347,2.653,2.653,0.0
390798,5,0,0.347,4.653,4.653,0.0
66125,3,0,0.347,2.653,2.653,0.0
388718,5,0,0.343,4.657,4.657,0.0
90105,1,3,0.338,3.662,3.662,0.0
198463,4,0,0.333,3.667,3.667,0.0
688304,4,0,0.333,3.667,3.667,0.0
298034,4,0,0.333,3.667,3.667,0.0
298018,3,0,0.333,2.667,2.667,0.0
233048,6,0,0.333,5.667,5.667,0.0
342483,4,0,0.333,3.667,3.667,0.0
23449,3,0,0.333,2.667,2.667,0.0
190121,5,0,0.333,4.667,4.667,0.0
42901,1,3,0.333,3.667,3.667,0.0
933619,3,0,0.333,2.667,2.667,0.0
196196,4,0,0.321,3.679,3.679,0.0
189276,7,0,0.321,6.679,6.679,0.0
188951,4,0,0.286,3.714,3.714,0.0
65559,6,0,0.317,5.683,5.683,0.0
7682,4,0,0.304,3.696,3.696,0.0
49295,6,0,0.298,5.702,5.702,0.0
94273,6,0,0.286,5.714,5.714,0.0
73683,7,0,0.286,6.714,6.714,0.0
90154,3,0,0.286,2.714,2.714,0.0
97991,4,0,0.286,3.714,3.714,0.0
27980,4,0,0.286,3.714,3.714,0.0
192258,1,4,0.286,4.714,4.714,0.0
958824,5,0,0.286,4.714,4.714,0.0
27194,11,0,0.286,10.714,10.714,0.0
199845,5,0,0.286,4.714,4.714,0.0
189272,4,0,0.286,3.714,3.714,0.0
65916,4,0,0.286,3.714,3.714,0.0
92467,8,0,0.286,7.714,7.714,0.0
54777,1,4,0.286,4.714,4.714,0.0
191670,6,0,0.286,5.714,5.714,0.0
188810,6,0,0.286,5.714,5.714,0.0
199060,4,0,0.286,3.714,3.714,0.0
