sku_number,baseline_daily_rate_units,baseline_daily_source_days,baseline_7_day_units,historical_units_same_discount_avg,current_predicted_promo_period_sales_units,proposed_promo_period_sales_units,promo_demand_floor_reason
69756,0.357143,56,2.5,2.5,0.0,2.5,
21210,0.357143,56,2.5,2.5,0.0,2.5,
90848,0.357143,56,2.5,2.5,0.0,2.5,
87452,0.357143,56,2.5,2.5,0.0,2.5,
271543,0.357143,56,2.5,2.5,0.0,2.5,
69724,0.357143,56,2.5,2.5,0.0,2.5,
92332,0.357143,56,2.5,2.5,0.0,2.5,
194016,0.357143,56,2.5,2.5,0.0,2.5,
93917,0.357143,56,2.5,2.5,0.0,2.5,
199844,0.357143,56,2.5,2.5,0.0,2.5,
94217,0.357143,56,2.5,2.5,0.0,2.5,
94276,0.357143,56,2.5,2.5,0.0,2.5,
87751,0.357143,56,2.5,2.5,0.0,2.5,
201057,0.357143,56,2.5,2.5,0.0,2.5,
94272,0.357143,56,2.5,2.5,0.0,2.5,
