sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
93339,51,0,51,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
365033,48,8,40,0.167,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
18512,38,0,38,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
32861,42,0,42,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
194014,46,8,38,0.174,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
188719,45,0,45,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
187118,46,0,46,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
187116,46,0,46,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94904,42,0,42,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
390763,40,0,40,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
192936,67,12,55,0.179,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
97057,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90933,41,7,34,0.171,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
92853,39,0,39,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195446,39,0,39,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193205,37,0,37,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
186369,39,0,39,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93336,36,0,36,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
93951,24,0,24,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
194048,34,0,34,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193212,37,0,37,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88081,34,0,34,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
28287,34,0,34,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
98024,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91912,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
88392,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96487,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96605,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96624,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96604,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91068,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91067,37,7,30,0.189,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96469,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96473,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
