segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
category=REMOVAL WAX CREAM,legacy_placeholder_detected,134,0.2967,0.2563
category=REMOVAL WAX CREAM,missing_baseline_daily_units,9,0.0199,0.0172
category=RESPIRATORY AND SL,legacy_placeholder_detected,2,0.0044,0.0038
category=REVLON,actuals_censored_by_stockout,5,0.0111,0.0096
category=REVLON,legacy_placeholder_detected,2456,5.4375,4.6973
category=REVLON,missing_baseline_daily_units,13,0.0288,0.0249
category=REVOLUTION PRO,legacy_placeholder_detected,64,0.1417,0.1224
category=REVOLUTION PRO,missing_baseline_daily_units,1,0.0022,0.0019
category=RIMMEL,actuals_censored_by_stockout,4,0.0089,0.0077
category=RIMMEL,legacy_placeholder_detected,2149,4.7578,4.1102
category=RIMMEL,missing_baseline_daily_units,17,0.0376,0.0325
category=SALLY HANSEN,actuals_censored_by_stockout,10,0.0221,0.0191
category=SALLY HANSEN,legacy_placeholder_detected,961,2.1276,1.838
category=SALLY HANSEN,missing_baseline_daily_units,19,0.0421,0.0363
category=SEASONAL,actuals_censored_by_stockout,2,0.0044,0.0038
category=SEASONAL,legacy_placeholder_detected,9,0.0199,0.0172
category=SEASONAL CONFEC,legacy_placeholder_detected,2,0.0044,0.0038
category=SEXUAL HEALTH,actuals_censored_by_stockout,1,0.0022,0.0019
category=SEXUAL HEALTH,legacy_placeholder_detected,26,0.0576,0.0497
category=SEXUAL HEALTH,missing_baseline_daily_units,6,0.0133,0.0115
category=SHAMPOO CONDITIONE,actuals_censored_by_stockout,56,0.124,0.1071
category=SHAMPOO CONDITIONE,legacy_placeholder_detected,1437,3.1815,2.7484
category=SHAMPOO CONDITIONE,missing_baseline_daily_units,30,0.0664,0.0574
category=SINGLES FEMALE,actuals_censored_by_stockout,13,0.0288,0.0249
category=SINGLES FEMALE,legacy_placeholder_detected,1212,2.6833,2.3181
category=SINGLES FEMALE,missing_baseline_daily_units,32,0.0708,0.0612
category=SINGLES MALE,actuals_censored_by_stockout,7,0.0155,0.0134
category=SINGLES MALE,legacy_placeholder_detected,486,1.076,0.9295
category=SINGLES MALE,missing_baseline_daily_units,13,0.0288,0.0249
