segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
department=PAPER COTTON,58,77.58620689655173,39.6551724137931,22,1,5,18,12,531.7,2562.794,51.23999999999999,,39.6551724137931,0.06,531.7,-2223.383
department=SKINCARE,8527,40.00234549079395,7.5759352644540865,2551,427,256,390,4903,30974.92,149299.102,126.126,,7.5759352644540865,90.69999999999999,30974.92,-45137.64
department=SMOKING CESSATION,130,5.384615384615385,1.5384615384615385,4,2,2,0,122,280.0,1349.6,217.69999999999996,,1.5384615384615385,0.0,280.0,-1194.5
department=SNACKS BEVERAGES,16,43.75,0.0,7,0,0,0,9,72.0,347.04,136.5525,,0.0,0.0,72.0,-314.56
department=SUNCARE,878,46.01366742596811,11.161731207289293,269,74,40,58,437,3401.12,16393.399,105.0,,11.161731207289293,6.18,3401.12,-4803.617
department=TANNING,771,19.844357976653697,4.409857328145266,111,30,16,18,596,2202.14,10614.314000000002,168.0,,4.409857328145266,0.54,2202.14,-7098.839000000001
department=VITAMIN SUPPLEMENT,2336,20.11986301369863,6.035958904109589,309,67,60,81,1819,5713.74,27540.226000000002,126.126,,6.035958904109589,3.02,5713.74,-16971.157000000003
category=ACNE,353,36.827195467422094,5.099150141643059,99,15,8,10,221,1016.68,4900.398,125.749,,5.099150141643059,1.02,1016.68,-2165.956
category=ADVANCED WOUNDCARE,8,87.5,87.5,0,0,0,7,1,23.0,110.86000000000001,0.0,,87.5,0.0,23.0,-110.86000000000001
category=AFTERSUN,35,17.142857142857142,5.714285714285714,5,1,1,1,27,97.0,467.5400000000001,96.63779999999988,,5.714285714285714,0.0,97.0,-394.3
category=ALKALINE URINARY,21,19.047619047619047,9.523809523809524,1,1,1,1,17,71.0,342.2199999999999,140.0,,9.523809523809524,0.0,71.0,-290.58000000000004
category=ALLERGY LIQUID,15,0.0,0.0,0,0,0,0,15,30.0,144.60000000000002,25.19999999999991,,0.0,0.0,30.0,-142.83999999999997
category=ALLERGY SPRAY,22,18.181818181818183,4.545454545454546,3,0,0,1,18,73.0,351.86,123.43334999999996,,4.545454545454546,0.0,73.0,-125.53000000000002
category=ALLERGY TABS CAPS,70,35.714285714285715,11.428571428571429,15,3,5,3,44,233.9,1127.3980000000004,126.0,,11.428571428571429,0.0,233.9,-681.9780000000001
category=ANTACIDS,92,34.78260869565217,8.695652173913043,19,9,5,3,56,234.0,1127.88,126.0567,,8.695652173913043,0.06,234.0,-832.8839999999999
category=ANTI FUNGAL,13,7.6923076923076925,0.0,1,0,0,0,12,32.0,154.24,153.9971999999999,,0.0,0.0,32.0,-103.68
category=ANTI VIRAL,10,20.0,0.0,1,1,0,0,8,28.0,134.96,211.31179999999998,,0.0,0.0,28.0,-111.28999999999999
category=AT HOME WHITENING,109,22.018348623853214,5.5045871559633035,16,9,3,3,78,325.68,1569.7780000000002,126.126,,5.5045871559633035,0.28,325.68,-758.5609999999999
category=AUSTRALIS,516,12.4031007751938,0.3875968992248062,56,6,1,1,452,1393.92,6718.694,189.189,,0.3875968992248062,0.26,1393.92,-6042.128000000001
category=BABY FOOD,7,0.0,0.0,0,0,0,0,7,17.0,81.94,119.78819999999999,,0.0,0.0,17.0,-77.98
category=BABY NEEDS,189,13.227513227513226,8.465608465608465,5,15,7,9,153,526.0,2535.32,167.665,,8.465608465608465,0.0,526.0,-2369.3
category=BARRY M,980,7.857142857142857,0.9183673469387756,64,4,6,3,903,2447.0,11794.54,167.665,,0.9183673469387756,0.0,2447.0,-10703.25
category=BATH ACCESSORIES,191,37.17277486910995,4.712041884816754,57,5,1,8,120,750.0,3615.0000000000005,81.21549999999999,,4.712041884816754,0.0,750.0,-2823.0299999999997
category=BATH BODY SEASONAL,97,10.309278350515463,10.309278350515463,0,0,0,10,87,239.0,1151.98,0.0,,10.309278350515463,0.0,239.0,-1121.5700000000002
